,movie_comment,movie_id,movie_score,movie_time,user_id
0,最赞+1s这个彩蛋。,4920389,5,2018-03-31,treeman
1,演技担当居然是甜，真是没想到会有这一天。故事上大炮打蚊子，浪费了前作好设定。,20435622,3,2018-03-24,treeman
2,,2240990,5,2018-03-18,treeman
3,,26861685,2,2018-03-13,treeman
4,不是特别燃但也是超级好看。各路配角为回旋舞增色不少。真希望一直打下去。世锦赛见！,26972275,5,2018-03-10,treeman
5,没有一个人不耐看。就连坏心眼的南方奶奶，吹牛的嫌疑人，伤心侏儒，刷牌工人，都耐看。因他们是蓬勃的真人。主角更是女武神，女鲁迅。,26611804,5,2018-03-06,treeman
6,爆，好，看！（而且音效一点也不爆，国产配音也很舒服）,26649604,5,2018-03-05,treeman
7,"世界因有神论而精彩。
就像印度人发明数字0。
借助它冲破一些边界。抵达一些无限。",26393561,5,2018-03-03,treeman
8,这不怪任何人。任何人到了这位置都会改变发型。,26779885,5,2018-02-25,treeman
9,糖与盐分，皆能令人上瘾；百元店里，自有向上一途。,25761178,5,2018-02-25,treeman
10,,26800978,4,2018-02-18,treeman
11,真的槽点不多，如果忽略掉终极boss的辣条造型，港片加特效基本就是完。群像人物的设定有新的想法，各有小念头，区别于先前仙侠片的类型，而这也许正是观众不适应的原因。但真的很好。对大鹏，倪妮，周冬雨，伍佰，李治廷路转粉。,26661191,4,2018-01-31,treeman
12,真是一部你想让它怎么拍它就会怎么拍的电影啊，而且比你所想还要舒服。生活真美，人民万岁。,26764928,5,2018-01-17,treeman
13,将反类型进行到底，棒呆。居然看到矛盾论和论持久战的影子，还有邓世昌和黄继光的影子，编剧挖斗争材料挖穿地球了，目测中国近现代史的星际化即将到来。,22265634,5,2018-01-06,treeman
14,且丧且珍惜。,27031389,5,2017-12-26,treeman
15,,1294693,5,2017-12-23,treeman
16,盛唐气象？？ 恒大童世界+海南海花岛+今日说法周末加强版+陈府父子传。,5350027,2,2017-12-22,treeman
17,,26425068,4,2017-12-21,treeman
18,,26830647,4,2017-12-20,treeman
19,,27099227,4,2017-12-20,treeman
20,,26897019,4,2017-12-20,treeman
21,,26936441,4,2017-12-20,treeman
22,,26100432,5,2017-12-20,treeman
23,,26803711,3,2017-12-20,treeman
24,,25808075,3,2017-12-20,treeman
25,,22266126,4,2017-12-20,treeman
26,,27024903,4,2017-12-20,treeman
27,,10512661,4,2017-12-20,treeman
28,,26378579,4,2017-12-20,treeman
29,,26681664,3,2017-12-20,treeman
30,,26798481,3,2017-12-20,treeman
31,,26607693,4,2017-12-20,treeman
32,,25980443,3,2017-12-20,treeman
33,,26718828,4,2017-12-20,treeman
34,,26761416,3,2017-12-20,treeman
35,,26340419,4,2017-12-20,treeman
36,,26392856,5,2017-12-07,treeman
37,锵锵已死；一路尬聊。,27139560,1,2017-12-02,treeman
38,不多说了，十星怒赞。,20495023,5,2017-11-25,treeman
39,已注销回归记。,26657126,5,2017-11-23,treeman
40,DC：I tried.,2158490,3,2017-11-20,treeman
41,追捕之前是一个电影，之后是另一个。前一个让人感受到城市的魅力，甚至比《云上的日子》更像《看不见的城市》，衬得后半部有些刻意。城市有跑者，一定是有健康的空气，美妙的格局，汹涌不息的希望。,26357945,4,2017-11-19,treeman
42,,24753477,3,2017-11-03,treeman
43,合家欢，居然很好看。人设甜笑点足节奏棒。估计票房20亿+,27038183,4,2017-10-01,treeman
44,长生不老药，天空大爆炸。,26679188,5,2017-09-25,treeman
45,把智商情商调到适中，观影的你就变成了全程倒吸凉气的空调。,26580232,5,2017-09-17,treeman
46,b站还有电影的时候保存下来的最后一个。现在只能搜到“6分钟看完帕特森”之类了。这种电影6分钟看个什么？一句话说得完，十年也看不尽。以及，写作的第一奥义：你须知道，你是两个人。,26677495,5,2017-09-16,treeman
47,用一千颗星星和诸般奇趣物种来描述的青少年爱情。,11502973,5,2017-08-27,treeman
48,,1482080,2,2017-08-25,treeman
49,千年一次打开纪录片频道，正播放第一集。手边正在写他的几段戏，所以看到知杂南庑，野火东坡，月白赤壁，乃至各种饮食，倍感亲切。只要东坡，怎样都好，唯一不满，为什么只有六集，岂意青州六从事，化为乌有一先生？,27091593,5,2017-07-24,treeman
