,movie_comment,movie_id,movie_score,movie_time,user_id
0,最近刚好看到一个理论叫做“下层阶级的诱惑”。。。一个带了女鬼的复仇片，节奏很慢，鬼看起来很傻，但是绿油油的水了叭嚓的越南田野真好看，好好一个亚洲农业国被法国美国轮流蹂躏也真可怜。女主长得像苍井空，男主那张法国人的脸不好看（对我一直觉得法国人不好看。。。）,26855695,3,2018-04-12,krolik
1,黑咕隆咚的真是很难看下去,26753903,3,2018-04-10,krolik
2,完美。罗生门故事，还不算太复杂，爱尔兰移民与英裔矛盾，阶级矛盾，被上层男人损毁遗弃的女仆们，众说纷纭的杀人案。居然拍出了波澜。只是Grace一个女仆，讲话像个哲学家，这流动的美妙英语，自愧不如哈哈。,2363887,5,2018-04-05,krolik
3,这只风靡欧美的白色河马 电影版好傻哈哈哈哈哈 而且我看了粤语版,27125691,3,2018-04-03,krolik
4,法国人好奇怪 被全欧洲吐槽是有理由的 不过我还是被逗得嘎嘎笑。。。这片子太法国了。。。,19969446,3,2018-03-22,krolik
5,强行逗笑么，还是英剧IT crowd好看点。,2156528,3,2018-03-20,krolik
6,"偏偏他也是musician 
fuck you Sasha，I'm the one lefted behind.",26920017,4,2018-03-13,krolik
7,哈 什么鬼！管你什么克苏鲁深潜者，简直像河童，看习惯了雀蓝色的脸还真觉得人类的脸挺恶心。女主是个每天早上跑到浴缸里自慰的，搞不好是鱼族留在人间的孤儿。什么六十年代、太空竞赛、种族歧视，统统脸谱化。总共没看过迈克尔·珊农几部片子，只要他床戏就一定仓促又尴尬，怎么那么惨？神经奥斯卡,26752852,3,2018-03-11,krolik
8,这把岁数的我，又没孩子，怎么会被逗得嘎嘎乱笑。哈哈哈哈。,27042405,3,2018-03-10,krolik
9,用舞台剧的表演方式 唱的是妥妥的Pop！本格格被这种骚气的操作震惊了。从歌剧到舞台剧到音乐片，接地气绝对不是坏事，尤其是有休叔等一票唱功扎实舞蹈扎实的演员时，所以我要比la la land多给一星！,3914513,4,2018-03-09,krolik
10,看得难受。美国官方、司法、奥体中心官僚全都欠Tonya一个道歉，他们毁了一个以花滑为唯一目的的运动员的一生。Tonya太可怜了，出生不幸福，游离在美国所需要的正面形象之外，靠自己实力最终还是不行，这个社会不同情弱者。,26756049,4,2018-03-05,krolik
11,看见制片国家西班牙就激动了 结果这撒玩意。。。对不起没看下去,26846564,2,2018-03-04,krolik
12,这黑的是犹太人的覆盖全世界黑白两道网络吧。。。挂着十字架的正经东正教俄罗斯Vadim家族被干掉了，带着小帽子的犹太Godman家族重新洗牌，世界被犹太人接管了啊。。。,26647103,4,2018-03-03,krolik
13,开场惊艳，看完后想想每个元素都够腐臭了，神在拼凑都一起之后变成了一部很不错的剧，于是我还满喜欢的。ITV很会拍这种政治涌动的多阶级时代剧，楼上楼下就不错，别跟唐家屯比好么乡村贵族田园生活跟战时的伦敦中心怎么会一样呢，应该说跟楼上楼下和长日留痕更类似吧。,26821003,4,2018-03-01,krolik
14,不羞耻地承认我看哭了。纠结的爱情关系，求不得。,27625642,4,2018-02-27,krolik
15,,5370003,3,2018-02-27,krolik
16,,19973397,3,2018-02-27,krolik
17,被高分骗来的，气饱了，什么鬼逻辑，凭什么得被生前的人原谅才能通过地狱审判，一生能得罪多少小心眼的混蛋也得被他们原谅？乱七八糟。,11584016,2,2018-02-26,krolik
18,,3929921,5,2018-02-21,krolik
19,,3230092,5,2018-02-21,krolik
20,,2255001,5,2018-02-21,krolik
21,目瞪狗呆！大叔强攻、粗鲁，要不是长得高帅看你不早被扁死。小帅哥其实也渣男潜质嘛，春心萌动同时拿法国菇凉练习用（这姑娘跟桃子一样算成人用品吗）。跳戏到lady bird，觉得怪不得是那副死样子，解释通了！这不求同行的爱情故事本身没啥意思，倒是最后爸爸一席话太棒，国内围追堵截早恋的爹妈该学学,26799731,4,2018-02-21,krolik
22,当年贡献过票房的，凡是美国漫改英雄片，情节都没什么可记得的，反正他们又save the world吧，范冰冰最后打了个酱油。,3231742,3,2018-02-20,krolik
23,当年Marvel把魔爪伸向了北欧神话大系,1866471,3,2018-02-20,krolik
24,"南北核战开打的架空题材耶！没有往常韩国片子过度煽情，好多地方非常有趣，年度神片。
1，朝鲜人挖了那么多条地道到韩国，郭度沅说那以后统一了地铁都找你们挖吧，2，朝鲜族中国驻韩外交官说你们什么时候把我们当同胞了，有钱的就是侨胞，没钱的就是外国人（可是其实朝鲜族还是非常哈韩的。。写不下了",26863778,4,2018-02-20,krolik
25,被拍出了喜剧效果的悲剧，这比半死不活的丧片儿好看多了。伤痛、孤立无援、被混蛋们继续伤害都带上了黑色幽默。其实看似不靠谱的白人警察不完全是坏人（尤其是威罗比），看似正直的新来的黑人局长反倒是个假惺惺的。,26611804,4,2018-02-19,krolik
26,"为什么台词念得那么快，快到有点滑稽。。。
服装和造型特别好看，故事是个男人戏嘛，这也是废话关原之战不是男人戏还能是什么。冈田准一有类似我真田广之蜀黍的风采耶！
作为一个看不耐烦战国时代的战争的女子，我还是打了三星嘎嘎嘎。",26852888,3,2018-02-18,krolik
27,三观恶劣的有病喜剧杀人片,26866790,2,2018-02-16,krolik
28,年三十选的片子很好看。只是中国要在大学才补上人家的高中生活啊。没什么大波澜的傻乎乎的青春，谁都一样。没什么特别的18岁。没什么了不起的被辜负的第一次的体验（所以那德行的男人就是用来钻洞卸包袱的好了），辜负了好朋友，想装得更酷，想混更酷的朋友圈，希望家里更有钱，更有面子，哈，青春啊。,26588314,4,2018-02-15,krolik
29,人家大逃港是为了生计，脱北是为了自由，跑到西德也算为了自由，你这帮身在福中的格鲁吉亚高干子弟纯粹闲得蛋疼！连个周密计划都没有，还持枪害死了其他无辜乘客。一帮脑子进了屎的。,26964420,3,2018-02-15,krolik
30,"美国漫改大片看多到审美疲劳，每一部都是特效+打坏蛋拯救世界。但是我依然需要这种片子，因为有时候不想看有深度电影，生活已经很累了，就吃吃零食看看美国大片，挺好的。。。
另外凭什么超人能复活。。。",2158490,3,2018-02-13,krolik
31,基本没有多少文戏，作为军事片很好，但是可能不适合姑娘看，很多被炸裂的肢体、牺牲的战友，看了难过。,26861685,4,2018-02-11,krolik
32,大概从前年起民族情绪高涨的片子变得很受欢迎了所以电影改编成这样子吧。黑白两道枭雄是不是坏人不知，兄弟情很好看。滴水之恩涌泉相报，救命恩人永远不忘虽然互相猜疑安插眼线，多少年后电话里还是老样子。港英到底有没有那么恶心也无从知道。用一生报恩的那个小姑娘玫瑰真可怜。,26425068,4,2018-02-09,krolik
33,第一集完美！后面也还不错，一个女子的成长。复古五十年代、发型、服饰都美轮美奂。表演夸张有趣。单口相声虽不是我太喜欢的，也觉得有点意思。,26813221,4,2018-02-09,krolik
34,"还是长日留痕的译名更好吧，一个管家（象征着旧时代秩序守护者）见证着大英帝国战后衰落（日不落帝国这长日确实尽了），美国人搬进了大宅（美国崛起了）。
那种克制的爱情看了好难过，过去的爱是等待，现代是迷失在太多的可能性里。
前一代主人老绅士的形象塑造得真好，风度翩翩。",1293004,5,2018-01-29,krolik
35,撩着女儿还睡了风骚‘丈母娘’，丈母娘还死了，男人还入了监狱，女儿还嫁了前男友，生了娃还夫妻关系不顺利，最后还又在海边重逢监狱男——再没见过更拧巴的故事了，假装什么小清新。。。（故事发生地看起来挺像雅尔塔？）,28514271,3,2018-01-26,krolik
36,赛博风 虚拟女友 复制人的反抗 画面构图 这些都很好看 节奏慢到我睡着 还是给四星吧,10512661,4,2018-01-23,krolik
37,这个技术更简陋，更惊悚。１９６５年又是冷战又是太空竞赛又是中苏交恶的，里面居然出现了中国梗儿，好有趣。勃列日涅夫打电话到太空，宇航员说，你谁啊，好有趣！,26654145,5,2018-01-21,krolik
38,"有执念的不死男人，不断勾引自己女儿跟自己继续生女儿的，充满诅咒的故事。北村一辉那么帅怎么还没有爱。。。
当年跟牛讲给宿舍人听，其他人表示好变态。",1926329,3,2018-01-21,krolik
39,现在实在是看多了所以看日本电影探讨与过去和解啦inner peace啦成长啦都觉得假以及俗。。。村上虹郎这小伙子穿上道服的气势真不错。,26882439,3,2018-01-20,krolik
40,还教育大人不要虐待小孩呢，这一帮翻白眼的小破孩子叽叽哇哇哭叫闹的，效果是让人更不想生孩子了吧。,26828241,2,2018-01-20,krolik
41,"没有第一部刺激（大概那年代我见识比较少），但是是个合格的喜剧，一帮中年人模仿未成年人的傻样。跟第一部一样都有进了游戏被困着出不来等待解救的人。
这片子其实讲了你可能会与不喜欢的另一个自己和解，然后做自己最想要的样子。所以也是一部成长片。",26586766,3,2018-01-18,krolik
