,movie_comment,movie_id,movie_score,movie_time,user_id
0,唐三唐三那个曼陀罗蛇有失主角光环啊，，，那个罗三炮厉害了。,27040807,4,2018-04-08,onlygray
1,哈哈哈，有待温习一把恐怖片的先驱。,1292225,4,2018-04-03,onlygray
2,有很多梗get不到，好在我看过闪灵。也许以后说不定人们真会活成这样，活在虚拟世界里，超期待这类游戏装备问世。。。,4920389,3,2018-04-03,onlygray
3,不摇碧莲，连邓布利多和斯奈普都出现了。。。。我是比较喜欢风星潼，要有这么一个小跟班就好了。,27034748,5,2018-03-29,onlygray
4,耶，就是酷。我说的是那个小机甲拳击手。。。看来还有第三部。,20435622,5,2018-03-23,onlygray
5,郑耀先是风筝，寒冰是军统影子，不谢！！文化大革命，十年浩劫真的要归罪于四人帮？！林彪？！我是不信，真像早晚都会水落石出。,25752323,5,2018-03-17,onlygray
6,恶心的一逼,1866462,3,2018-03-05,onlygray
7,那个铁T好厉害(ง •̀_•́)ง，那个黄景瑜“死性不改”居然撩拨观察员，那个队长居然是孟烦了！然而我想看中国海军VS美国海军。,26861685,4,2018-02-22,onlygray
8,嘻嘻，好看的不得了，第三季快点出。。。。里面男的都很帅。,27030637,4,2018-02-03,onlygray
9,就看看杨洋给四星就好了！,25823277,4,2018-01-27,onlygray
10,女主好丑，屁鹅好帅，闺蜜好自私，闺蜜bf很欠屮，校长好讨厌，结局很不完美。,27024903,4,2018-01-22,onlygray
11,早就看完了，一直没mark，老戏骨大集合啊，真是要学学她们对待生活的态度，要豁达乐观一些。赵寅成演的也太温柔了，尤其是坐在轮椅上招手让高贤贞过来那段，都把人看化了。,26636816,,2018-01-22,onlygray
12,哈哈哈，生田斗真演女生比大多女的还美。政男有一句话说对了：他心地善良，我喜欢的是他这个人呢，管他是男是女。,26754513,4,2018-01-19,onlygray
13,,3279107,,2018-01-18,onlygray
14,那个美国人就是个渣渣嘛！,26799731,4,2018-01-14,onlygray
15,啊西八，为啥我看着看着还睡了一会儿。白鹤少年不错，别的都不行！空海国语一会儿6一会儿不6的，原著改的比较多，把另外一个在空海身边的倭国人换成了白居易。,5350027,3,2018-01-01,onlygray
16,,3604148,,2017-12-28,onlygray
17,,26961159,,2017-12-28,onlygray
18,又阳光又忧郁的鲜肉+烂尾的剧情,26770698,5,2017-12-22,onlygray
19,哈哈哈，不就是恋尸么，，，从坟地刨男人出来回家做爱，这应该是第一部的戏文吧。第二部是勾搭了个男人回家做爱的过程中把男的头给砍了。。。,1422204,4,2017-12-19,onlygray
20,有很感动吗？旁边俩人都哭了，我没哭，，，被人说心硬，我都心塞了。。。我一直不理解coco太太奶奶的那个巨大的猫是什么鬼？！没人管管吗？,20495023,4,2017-12-04,onlygray
21,终于看完了，这季只能说凑合吧，这也是才看完的原因。 预示这下一季安德伍德要和他老婆开战了。然鹅，原因凯文史派西居然出柜了，屎尿不及啊。这让下一季要怎么拍？,26718795,3,2017-11-30,onlygray
22,丁一宇笑起来好阳光啊,2360882,5,2017-11-13,onlygray
23,夹撕他搜搜,26270502,2,2017-11-07,onlygray
24,四星给编剧，脑洞大开，比《后台》场面更好看些，剧情虽然老套，演员台词乏善可陈，可灾害的视觉效果还是不错的。还有吴彦祖打了一把酱油，小鲜肉变成了老油条。,22266012,4,2017-10-30,onlygray
25,修改成看过吧，跟了十多年，把大筒木辉夜灭了以后就再也不看了。。。,1427318,5,2017-10-10,onlygray
26,是个人都现在搞个这么个，这叫啥？ 自媒体还是脱口秀还是讲座？ 接下来第二步是什么？猜猜。。。 那肯定是卖东西了嘛，，，，这还用猜，，，，装逼点儿的就卖书，，，，不装逼的就卖淘宝。【编辑成精】,26263441,4,2017-10-10,onlygray
27,应该叫做  人民的矛盾,26727273,2,2017-10-10,onlygray
28,囧雪睡了姑妈，小指头被割喉，夜王有了拽根，该团结的已经团结起来，就差最后一站了，又得等到2019年。八季将是最后一季，一共只有6集，囧rz,26235354,5,2017-10-10,onlygray
29,白琉璃为什么不和无心在一起！！！这剧把原著改的惨不忍睹咯。不过感觉白川还是挺抖M的。,26608206,3,2017-10-10,onlygray
