,movie_comment,movie_id,movie_score,movie_time,user_id
0,逻辑还算通顺，但是不吓人。不过泰国的恐怖片都不吓人。女老师长的很性感啊！,1866462,3,2018-04-14,ruxiaoguo
1,只剩5帕气，坚持了一小时？嗯？湿衣都没穿在47米待那么久早就冻死了……,26845362,1,2018-04-13,ruxiaoguo
2,可怕……,27018233,2,2018-04-09,ruxiaoguo
3,导演作品我给两星半，比他演的都好……,27114417,2,2018-04-06,ruxiaoguo
4,三星半，如果再恐怖点可以到四星，我觉得是华语鬼片的最低标准和模板了，但是电影院上映的连这个脚脖子都没有。在马来酒店看的，马克一下。,26748223,3,2018-04-06,ruxiaoguo
5,作为一个从小学五年级就开始玩电脑游戏的死宅女玩家，呃，怎么说呢，激动是很激动，但是始终觉得故事少了点啥。,4920389,4,2018-04-06,ruxiaoguo
6,一个好看的开头，加上一堆冗长而无意义的中间，但是结局我又很喜欢。美好生活的意义就是没好生活。,26972555,3,2018-03-27,ruxiaoguo
7,记得第一部的BGM让我在跑步机上跑瘦了好几斤。而这一部当景甜说出“这是我的毕生心血”时，吓得我立刻想去电影院楼下的肯德基吃三个汉堡压压惊。,20435622,2,2018-03-25,ruxiaoguo
8,,27079058,,2018-03-19,ruxiaoguo
9,这是这系列里最好的一部，主题我很喜欢。前两部是什么几把。,25829175,3,2018-03-18,ruxiaoguo
10,丑女与野兽。,26752852,4,2018-03-18,ruxiaoguo
11,影片以外的一些题外话，弹幕令人绝望，我国的爱国主义教育太失败了，满屏幕的“干死小日本”。难道战争的反思应该是这样的吗？,26430107,5,2018-03-14,ruxiaoguo
12,原谅我的血条撑不到三分钟……,26322774,1,2018-03-12,ruxiaoguo
13,2016年这片上映的时候我正好在坐着小船在湄公河游玩，回来电影院就下映了。今天补课了，剧作比红海行动要好的多。,25815034,4,2018-03-05,ruxiaoguo
14,之前有人力推，可能是期待太高，看完觉得蛮幼稚蛮刻意的，一个几乎无暇的好人，落泪点也很多，但是显得矫情。,11584016,3,2018-03-04,ruxiaoguo
15,伟大的电影主题都落在简单一个爱字上。,26611804,5,2018-03-04,ruxiaoguo
16,呐，ԅ(¯㉨¯ԅ)。,26729868,2,2018-03-02,ruxiaoguo
17,对方狙击吃坚果少年，是吃鸡高端玩家。,26861685,3,2018-02-26,ruxiaoguo
18,丢掉了精气神，刘震云这种私心不应该有。,26389466,3,2018-02-25,ruxiaoguo
19,把辛芷蕾换成别人，我可能会喜欢女二。,26827972,3,2018-02-25,ruxiaoguo
20,哈哈，白夜追凶。,26474254,4,2018-02-20,ruxiaoguo
21,童年已逝的我，冷静下来思考了一个问题，大雄有这么牛逼的机器猫，为啥别人还会欺负他，不符合逻辑！,26839466,,2018-02-20,ruxiaoguo
22,嗯……,26984538,,2018-02-20,ruxiaoguo
23,爱国毛片。只记得一句弹幕“出国时带内裤没有带国旗管用”。,26363254,2,2018-02-20,ruxiaoguo
24,第一部让我惊艳，第二部却大跌眼镜，编剧金手指随意开，主角光环耀眼的吓人，从悬疑变成玄幻，人物命运全无，推理瞎鸡巴胡来。,26698897,2,2018-02-20,ruxiaoguo
25,幸亏没花钱去电影院哈哈。,26661191,2,2018-02-17,ruxiaoguo
26,第一部故事线清晰，世界观完整，人物动机合理很好看啊，第二部肿么回事？为啥抓妖？梁朝伟变成男一，白井组合成了副线，梁朝伟心结是啥？为啥突然想通加入战斗？李宇春这条线最后扔了？天师堂这条线也不清不楚，为啥全是妖了？,26575103,2,2018-02-17,ruxiaoguo
27,虽然逻辑很牵强，但是我有被吓到一点点！,25870483,3,2018-02-16,ruxiaoguo
28,emmmmm……,26966580,2,2018-02-11,ruxiaoguo
29,情理之中，意料之外！,26580232,4,2018-02-11,ruxiaoguo
30,看了两遍，太爱了。,26279353,4,2018-02-07,ruxiaoguo
31,李丽珍真好看啊！但是电影哈哈哈哈哈哈哈哈哈真的是很搞笑啊。,1302698,3,2018-02-06,ruxiaoguo
32,2017.2.4日标记想看，2018.2.4已看，整整一年。,20514947,4,2018-02-04,ruxiaoguo
33,,1308755,,2018-02-02,ruxiaoguo
34,2007.12.15标记想看，2018.2.1看了，这就是一个重度拖延症患者的豆瓣。,1329286,3,2018-02-01,ruxiaoguo
35,我很喜欢！非常喜欢！,24736526,4,2018-02-01,ruxiaoguo
36,除了担心邻居的狗，没感受到家人在一起这个主题……,26815162,3,2018-02-01,ruxiaoguo
37,都说是王晶这几年拍的最好看的一部，看来观众对王晶的期望值还真的是低。,26425068,3,2018-02-01,ruxiaoguo
38,我的朋友跟我说，这部剧前半段好看后半段扯淡，我反倒认为这部剧的最好看的部分在后半段，解放后部分的故事恰恰是以往被“政治正确”那些谍战剧没有的部分。能过审真不容易。没有敌我，只有立场。,25752323,4,2018-01-31,ruxiaoguo
39,别的不说，从电影工业这个角度，从拍摄到制作都是华语电影的新高度。,26628329,4,2018-01-29,ruxiaoguo
40,《无罪之证》用了三天看完的，《白夜》用了三个月断断续续看的，无罪的调子特别抓人，白夜还是网剧感强烈。个人喜好吧。,26883064,3,2018-01-28,ruxiaoguo
41,最烦什么隐喻了半天但是不吓人的恐怖片了。,3604148,2,2018-01-27,ruxiaoguo
42,杀人犯前十分钟那特写的眼神就看出来了，太明显了，逻辑也很幼稚，¯\_(ツ)_/¯，不过永远循环一天的梗总是玩不坏，靠着结构能能看进去。,27027913,2,2018-01-27,ruxiaoguo
43,,26961208,,2018-01-27,ruxiaoguo
44,,25900177,,2018-01-27,ruxiaoguo
45,,27597015,,2018-01-27,ruxiaoguo
46,,27099227,,2018-01-27,ruxiaoguo
47,……可怕，第一季辣么好，第二季做的辣么差，金星现在估计很暗爽“看，没了我就这尿样子。”,27624675,1,2018-01-27,ruxiaoguo
