,movie_comment,movie_id,movie_score,movie_time,user_id
0,,1297229,4,2018-04-07,emilycat
1,,25917973,4,2018-04-06,emilycat
2,给闪灵终结者还有指环王加一星吧,4920389,4,2018-04-01,emilycat
3,Can we decide what we will become? ,26474254,4,2018-03-31,emilycat
4,,26662193,,2018-03-31,emilycat
5,编剧这是没工作过吧... ,27097811,2,2018-03-24,emilycat
6,曾经在旧金山一个科技博物馆里看过 久久驻留 泪流满面,1981243,5,2018-03-19,emilycat
7,特别感动。那么真，那么可爱。,26884892,5,2018-03-18,emilycat
8,甘地那段要笑死,6753166,4,2018-03-14,emilycat
9,,26787149,2,2018-03-14,emilycat
10,,25725200,3,2018-03-14,emilycat
11,,6308210,4,2018-03-11,emilycat
12,铺垫太多了 火灾部分太少 后续的幸存者内疚部分太少,26718828,3,2018-03-11,emilycat
13,,26861685,3,2018-03-09,emilycat
14,,26958597,5,2018-02-21,emilycat
15,,26794215,4,2018-02-21,emilycat
16,人格分裂的主题不能再讲了 ,2363887,4,2018-02-13,emilycat
17,人物刻画非常好。,27031389,4,2018-02-08,emilycat
18,"The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for. ",26809592,5,2018-02-08,emilycat
19,从剧场模式到马戏团模式，就想到一句话：当一名成功的CEO根本没有秘诀，如果说存在这样一种技巧，那就是看其专心致志的能力和在无路可走时选择最佳路线的能力。,3914513,3,2018-02-07,emilycat
20,,5313428,4,2018-02-04,emilycat
21,,26961208,4,2018-02-04,emilycat
22,,26341777,4,2018-02-03,emilycat
23,,20452350,4,2018-02-03,emilycat
24,,26600660,3,2018-02-02,emilycat
25,略失望。我押《魅影缝匠》是今年奥斯卡最佳影片。,26990609,3,2018-01-23,emilycat
26,期待了好久 蛮失望的 节奏一点不紧凑 看着看着都想快进,26704137,3,2018-01-20,emilycat
27,,26752852,3,2018-01-12,emilycat
28,Damian Lewis 的老婆。国土安全的编剧。为这两个看的。,26918285,4,2018-01-12,emilycat
29,跳着看了点 ,27104837,3,2018-01-11,emilycat
30,下辈子，我要做个 BAU 侧写员。,26926437,5,2018-01-07,emilycat
31,,25933890,4,2018-01-06,emilycat
32,说不清是种族片还是悬疑片。也理解为什么烂番茄评分那么高，中国豆瓣才 7 点多，差点错过好片。,26688480,5,2018-01-06,emilycat
33,,26387939,4,2018-01-01,emilycat
34,,1793922,3,2017-12-31,emilycat
35,给第四集和第六集打五星 ,26898192,,2017-12-30,emilycat
36,好好感受这痛苦，别那么快杀死它。,26799731,4,2017-12-29,emilycat
37,青少年成长题材好像不再有什么共鸣了,26588314,3,2017-12-29,emilycat
38,以为是小人物抗争励志片，结果穿插那么多黑色幽默，也是很差异化了。,26611804,4,2017-12-28,emilycat
39,they want someone to love   they want someone to hate,26756049,4,2017-12-28,emilycat
40,希望我 89 岁的时候也这么酷，如果能活到 89 岁的话。,26764928,5,2017-12-23,emilycat
41,,1293456,3,2017-12-15,emilycat
42,整个故事非常伍迪艾伦风格 不怎么路易风啊 什么情况,27114850,3,2017-12-12,emilycat
43,一定会看一次。但一定不会看第二次。非常喜欢电影里的一幕幕画。但对电影不太感冒。,25837262,3,2017-12-11,emilycat
44,两集弃,26813221,3,2017-12-09,emilycat
45,这么高的评分吧，感觉大家更多是在为丘吉尔打分，为敦克尔刻打分，为那场演讲打分，而不是为这个电影打分。,26761416,3,2017-12-07,emilycat
46,超出期待。还是喜欢这个电影原来的名字，爱国者日，这一个个普通的波士顿居民和警察演绎了什么叫爱国。,26357945,5,2017-11-29,emilycat
47,电影院左右的大人带着孩子一起哭得唏嘘唏嘘的。只是完全不是我的哭点。,20495023,3,2017-11-26,emilycat
48,看不下去了,1295526,3,2017-11-21,emilycat
49,真实故事很好 电影一般,1294753,3,2017-11-19,emilycat
50,"能想象一个贫穷的黑人女性要经过多少努力才能克服那三重歧视得到自己想要的东西吗？""In NASA, we all pee in the same color."" ",26615208,5,2017-11-17,emilycat
51,,26979545,4,2017-11-17,emilycat
52,看了 2 集 觉得还是适合年轻人看,26908002,3,2017-11-12,emilycat
53,反转就一次的电影怎么烧脑啊，火还没点着呢,25790761,3,2017-11-10,emilycat
54,we all get dressed for bill,4836985,5,2017-11-05,emilycat
55,,25843022,3,2017-10-29,emilycat
56,,1296141,4,2017-10-28,emilycat
57,故事情节过于简单 节奏太慢 ,10512661,3,2017-10-28,emilycat
58,,1291839,3,2017-10-28,emilycat
59,,25847558,3,2017-10-27,emilycat
