,movie_comment,movie_id,movie_score,movie_time,user_id
0,看过费曼的传记就觉得这个纪录片的叙事有点散，主要费曼值得说的事情确实太多了，完全可以拍成12集，一个小时的时间确实只能蜻蜓点水地说说了。不过值得推荐的是里面好多影像资料，费曼年轻的时候好帅啊……,24696708,4,2018-04-13,46843344
1,不懂为啥那么多人diss杨蓉，她玩得很认真啊……,26821378,3,2018-03-26,46843344
2,大概能拯救舌尖3的就只有食戟3了……麻婆豆腐放猪肉末也就算了，咖喱麻婆豆腐面加狮子头这种黑暗料理真的能好吃吗？作者你不要玩我啊……,27075275,2,2018-03-15,46843344
3,没看过韩版的《犯罪现场》，不过芒果台请的这几个人确实有化学反应，非常适合下饭的视频。,26737158,4,2018-03-15,46843344
4,不懂为啥大家都抨击这部电影政治正确，在我看来根本就是反动透顶。瓦坎达一方面是非洲文明的能指符号，另一方面又变成了美国的能指符号（走出中立主义、接收难民），把真实历史上的种族矛盾神话成了黑人两兄弟的恩怨（哥哥杀死了亲弟弟）。与《疯狂动物城》一样通过混淆能指符号来消解革命。,6390825,2,2018-03-12,46843344
5,各方面都很成熟的商业片，最后煽情部分处理得有点用力过猛。看完后最大的疑问是：板球是什么鬼？印度化的棒球？,26393561,4,2018-03-10,46843344
6,一边是永远用绝对理性来反复衡量利害得失的世界，另一边是能听得见苍蝇嗡鸣、看得见脸上的汗腻、闻得见身上臭味、充满动物性的世界，妈妈在这两个世界之间来回博弈。盖蒂老爷子的世界观自洽到让人不得不信服。,26995719,4,2018-03-10,46843344
7,剧作很工整，作为非球迷看得也很燃。后半段主角有点太顺了，不如前半段那么牵引观众。一般这种体育励志片，既不能让主角一直遭受挫折，但也不能在第三幕高潮前就让观众彻底为主角放下心来。这片里主角从哮喘危机之后，就没有真正意义上的大危机了，花边新闻和父亲去世并不足以构成他职业上的威胁。,1437204,4,2018-03-08,46843344
8,我觉得可以。用被奸杀的儿童眼泪作为调料吞食恋童癖者的自白书、用呕吐物喂食审判者做出判决、用老女人的口水作为清洁，以及腹中藏活狗、手中握眼球和牙齿的桥段，都是用低成本营造出了极富想象力和冲击力的画面，也恰恰是这个系列最初带给观众的对于极致邪恶的展示。,26748513,4,2018-03-07,46843344
9,好久没看到这种复古的好莱坞剧本了，开头的每一处伏笔在后面的剧情里都一定会有呼应。现在再写这种剧本经常会被笑太匠气，但其实我还蛮喜欢，有种结构工整的美感。整个影像色调太亮丽，跟忌日快乐一样，青春片基调大于恐怖片，里面好几处吓人的镜头调度不讲究，靠音效吓人。,26704621,3,2018-03-06,46843344
10,剧本写得真好……是我一直想写但没写出来的那种剧本……,3036465,5,2018-03-02,46843344
11,看完了……感觉确实是犯了一部纪录片能犯的所有错误……,25875034,1,2018-02-28,46843344
12,该片对于现代恐怖片的镜头语法所起到的影响确实堪与《公民凯恩》比肩。早期恐怖片更多受到德国表现主义的影响，在光影造型方面下功夫。但这部更多是通过镜头和音效的调度营造恐怖气氛，很多调度手法基本上就是现代恐怖片的常用套路。低成本恐怖片导演都应该从这部电影身上取经。,1306489,5,2018-02-23,46843344
