,movie_comment,movie_id,movie_score,movie_time,user_id
0,我是来看基努里维斯的,26761636,3,2018-04-14,shapesofdreams
1,第一季我以为是治愈剧，第二季发现原来是讲任何家庭都是奇葩家庭。Mandy Moore演老太太的心得就是嘴角下撇 ☹️,26958597,3,2018-04-14,shapesofdreams
2,考虑后面会开始烂，第一季虽然比第二季好一些，也不过多推荐了。,26794215,3,2018-04-14,shapesofdreams
3,其实是一个挺复杂多层的国际问题，但是纪录片拍的也太小气了，个人情绪太严重，主要人物一副我是烈士的姿态，节奏奇差。,27115571,2,2018-04-08,shapesofdreams
4,创业故事看的唏嘘,25913205,3,2018-04-08,shapesofdreams
5,一个怎么看怎么讨厌的人,27194924,,2018-04-08,shapesofdreams
6,,4920389,3,2018-04-02,shapesofdreams
7,平铺直叙不够精彩。就是个花哨。,25790761,2,2018-04-02,shapesofdreams
8,完全没有想象的好，演的好不假，但是有点想不通影片为何对Dixon和女主的恶行不闻不问，一个转折好像都成了好人。这不是等于同意用暴力解决问题么？,26611804,3,2018-04-02,shapesofdreams
9,非常适合正大剧场（褒义）,1298506,4,2018-03-26,shapesofdreams
10,,27140017,4,2018-03-26,shapesofdreams
11,前三季其实看的人有些烦躁，因为主角太讨厌，自私到骨子里却喜欢做救世主。到了最后两季，埋够了包袱，越看越苦涩的有味道。人依然讨厌，剧情依然很多荒谬，对人的剖析却是最接近真实世界的。结局还是趋向happy ending了，收尾收的略干净，不过里面被毁灭的，都无法再修补回来。,6952149,4,2018-03-18,shapesofdreams
12,,25821634,3,2018-03-18,shapesofdreams
13,Carey Mulligan声音什么时候变这么好听了，演的也好。人物刻意搞的有点多，有些人物略烂尾，整体还是很紧凑够好看的。,27002131,4,2018-03-18,shapesofdreams
14,"quoting G: It's like you came for a science fair, and it ended up being an art exhibition. 只幻不科，我不吃这口（我爱科学数学天文学）。逻辑bug太多了啊，还有这台词也太干了，每一句台词都在无数其它电影里听到过。""Because you are a liar! You lying bitch!"" 呵呵。",26384741,2,2018-03-15,shapesofdreams
15,第二季剧情推动好快。基本每个主角都有让人理解又让人讨厌到牙疼的地方（好奇自己为何会想说牙疼，也许我想说咬牙切齿吧。。。。。）还是觉得编剧倾向性太太明显，三个大臣有些片面，后两个被写的可以说是一无是处。,26957989,5,2018-03-12,shapesofdreams
16,越到后来越好看，有意思的人物非常非常多，台词写的也非常好。女王她男人和妹妹是最烦的。自私的脸孔真是看不下去。,26427152,5,2018-02-28,shapesofdreams
17,第四季突然觉得，好看了。但是不得不说这个剧里几乎没有招人喜欢的人物。每个人都有如此让人厌恶的一面。是为了真实刻意这样的吧。,4927382,4,2018-02-28,shapesofdreams
18,林奇的电影，不看解读真的看不懂呃。但是这部真的很酷，音乐也点睛。虽然有些地方非常慢，但是完全不无聊。在电影院看，看到讨厌的人大家一起发出微微的哀嚎。,1303459,4,2018-02-26,shapesofdreams
19,现实当然不会是这样，但是有这样的造梦人，就是一种鼓励。,26787574,4,2018-02-26,shapesofdreams
20,我，应该是已经看过了。。。,26798437,3,2018-02-05,shapesofdreams
21,龙妈一张嘴还是没忍住一哆嗦，她这个演技啊。,26235354,4,2018-02-05,shapesofdreams
22,,4203800,,2018-02-05,shapesofdreams
23,,4203797,,2018-02-05,shapesofdreams
24,Jerry高人一等的那股自作聪明劲儿，突然就看烦了。,2045978,3,2018-02-05,shapesofdreams
25,Walter自私的很讨人厌。Saul部分的剧情好难看，我不懂这部剧为什么当时都被说是神剧，Walter太讨厌了。,4256328,,2018-02-05,shapesofdreams
