,movie_comment,movie_id,movie_score,movie_time,user_id
0,“功成名就乎，壮志未酬也。”,26940054,4,2018-04-10,renjiananhuo
1,,26682399,4,2018-04-04,renjiananhuo
2,,6780839,4,2018-04-04,renjiananhuo
3,要哭了，每个友邻都是五星好评，而我羞愧地半路睡着了……就感觉故事蛮老套的，那些让人嗨的点，心里只是“哦”了一下。,4920389,3,2018-03-31,renjiananhuo
4,实在是太过普通，几乎没有什么可以称道之处。,26752852,3,2018-03-16,renjiananhuo
5,,26773624,4,2018-03-13,renjiananhuo
6,电影里这么多血腥残暴的镜头，居然还有几位家长带孩子来看，真是不知道怎么想的。后来小孩子们觉得电影无聊，在放映厅里跑来跑去，我只能暗自庆幸孩子们没有认真看电影吧。哎，这些家长说他们什么好呢。,26861685,,2018-03-12,renjiananhuo
7,,1299923,4,2018-03-06,renjiananhuo
8,,26933356,4,2018-02-27,renjiananhuo
9,,1296987,4,2018-02-23,renjiananhuo
10,,1295260,4,2018-02-20,renjiananhuo
11,,26611804,5,2018-02-19,renjiananhuo
12,,3914513,3,2018-02-04,renjiananhuo
13,故事其实很俗套，但每一个演员都很好，配乐也好听，很打动人。,26942674,4,2018-01-27,renjiananhuo
14,,27073291,4,2018-01-22,renjiananhuo
15,好甜喏,26787574,4,2018-01-20,renjiananhuo
16,,26781703,4,2018-01-18,renjiananhuo
17,,26954003,3,2018-01-16,renjiananhuo
18,怎么都这么喜欢用大卡车把人撞飞的片段,2133433,3,2018-01-13,renjiananhuo
19,电影三星，私心多打一星，为电影背后那些真实生活过的知识分子们。很多地方很是触动人，抗战时期知识分子的坚持，再想到他们日后的人生，留下来的各种运动折磨，离开的孤苦飘零，想到此很难过。电影没说出的部分都很沉痛。现代戏部分好尴尬，浪费张震了。,6874741,4,2018-01-10,renjiananhuo
20,,27038183,3,2018-01-08,renjiananhuo
21,之前已经看过不同剪辑版本，以为会麻木，但看到放映的最终版，还是忍不住泪崩。这对父母实在太独特了，他们的日常生活透露出鲜活的诗意，也让我看到婚姻可以如此融洽。片中他们时不时唱起歌来，还有音乐、舞蹈和大自然的滋润，极有生活质地。开头收尾都很好，丧歌和击鼓声十分震撼，看完后余味悠长。,27191492,5,2017-12-30,renjiananhuo
22,看进去后，我觉得并非糖水片。从相识，经历试探、闹别扭、忍不住靠近、戳破那层纸、干柴烈火、甜蜜相处、挥泪告别到深深无奈的过程，展现得细致舒缓。爱到深处，五脏俱焚，连回去的力气都没有了。小演员的演技真是太好了，结尾处他蹲在炉火边默默哭泣，那种复杂的情绪，经得起长时间的镜头凝视。,26799731,4,2017-12-24,renjiananhuo
23,每一集都挺期待华晨宇的改编版本，莫文蔚真是美花了眼。,27114957,,2017-12-24,renjiananhuo
24,,5350027,3,2017-12-24,renjiananhuo
25,小朋友找我玩，找了这部陪她看，一口气看了十几集，根本停不下来！结果小朋友不看动画片专看我笑到猪叫。,3036644,5,2017-12-21,renjiananhuo
26,不妨叫《老畜生》，虽然偶尔他的善意和感情，但这个人物如果在现实中碰到，真是到了大霉。涂们演得好。,26957500,4,2017-12-15,renjiananhuo
27,我不喜欢现在严歌苓的小说，但喜欢由她小说改编的电影。好看。,26862829,5,2017-12-15,renjiananhuo
28,还以为是看杨德昌的电影，结尾很好。,1307054,4,2017-12-13,renjiananhuo
29,,26340419,3,2017-12-13,renjiananhuo
30,中途就这么睡着了。,1755630,3,2017-11-30,renjiananhuo
31,现实让剧情片变成了纪录片。,27019527,5,2017-11-30,renjiananhuo
32,精致平庸。对这种模式化的故事实在是倦怠了。看了这么多迪士尼的，永远都是在拍同一个事情。,20495023,3,2017-11-30,renjiananhuo
33,前面看得有点不耐烦，嫌其平淡，中途还有观众退场，但慢慢地“炖”，滋味出来了，那轻盈微妙的幽默感，真是妙不可言。结尾余味悠长。范伟对人物角色的理解和拿捏真是好极了。（字幕有错别字，前面“胡牌”，后面“和牌”，一错一对。）,26657126,5,2017-11-22,renjiananhuo
34,看到黄素影老师去世了，想起当年看的这部电影里她精湛的表演，实在是触动人心。当时看完实在太难过了，到后来不敢再看。,1316565,5,2017-11-22,renjiananhuo
35,,25790761,4,2017-11-17,renjiananhuo
36,,27099198,3,2017-11-15,renjiananhuo
37,特效很渣，但到了南方小山村，却意外地丰润起来，有日常细节和情感在里面。刘亦菲不算好演员，但这回完成得不错，表演细腻温婉。她低头再抬头，对杰克微微一笑，真好看，看了都不免心动。这个角色贴合她。电影整体偏沉闷，但刘亦菲之死，还是被打动，想到真有这些人被屠杀，历史的沉痛感油然而生。,25865831,3,2017-11-14,renjiananhuo
38,看完后，出了影院还是心头一阵难过和惆怅。如此轻柔地讲述，但越想越沉痛。这也是我喜欢张艾嘉电影的地方，日常生活中亲人之间既撕扯纠缠又在乎的情感，一点点地展开，把人带进那个情境之中，喜乐哀愁，一言难尽。真好。,26773744,5,2017-11-03,renjiananhuo
39,好傻,22266012,2,2017-10-29,renjiananhuo
40,二刷。第一遍2D版，法语字幕，完全按自己臆想来的理解，看第二遍时发现全不对。国内3D版效果不是很好啊，太偏暗了，人物细腻的面部表情都看不到，画面质量也不好，删的那一分钟删得有点影响理解剧情。太动人了，那种入骨的孤独感看完还萦绕不去。,10512661,5,2017-10-28,renjiananhuo
