,movie_comment,movie_id,movie_score,movie_time,user_id
0,爱国主义教育片有了很大进步。依旧是因为《麒麟》来看的电影，队长、狙击手、女机枪手都很帅。紧张的时候看看张涵予，超有安全感，怀疑他就是导演派来稳定观众情绪的。我很好奇，无人机炸坦克那么厉害，怎么不多派几个呢。,26861685,3,2018-03-16,59291955
1,冲突过于密集，因此显得狗血。人生的矛盾，并不仅仅体现在出轨、出柜、婆媳矛盾、亲子关系这些剧烈的问题上，还有很多微妙的东西。本片差了一点微妙。,26614893,3,2018-03-15,59291955
2,想起摩登伽女和阿难的故事。再爱一个人，也没有办法看着TA腐烂。非要刨根问底的话，爱情是虚幻的。,5273304,4,2018-03-04,59291955
3,描述了底层男青年的典型幻想——有大美女+狐狸精，无怨无悔当我的粉丝，为我付出一切，并且不需要我有钱和买房买车。,26797419,2,2018-02-19,59291955
4,从神剧变成了普通好看的剧。我最喜欢的是第一集。虽然这个程序员很讨厌，但是我们很多人身上都有他的影子——渴望尊重，渴望爱，却选择了使用权力去得到，因为只有这样，才不会冒着被拒绝、受挫败的风险。对无限权力的渴望，背后是恐惧。,26898192,4,2018-02-18,59291955
5,温暖的故事。小李非常适合演放荡不羁、聪明而耀眼的少年，比如Frank、Jack、兰波、罗密欧……,1305487,4,2018-02-12,59291955
6,,26665065,3,2018-02-07,59291955
7,,26862829,3,2018-02-06,59291955
8,为什么气氛怎么这么像《阴阳师》呢，原来是同一个作者。幻术和穿越三十年的爱与追寻，让我想到《阴阳师》中的一段对话。博雅问晴明:“什么是咒？”晴明指了指最后一朵在风中摇摆的紫藤花，说:“咒就是执着之心。”,5350027,3,2017-12-31,59291955
9,,25837262,3,2017-12-19,59291955
10,为紧张而紧张。,27024903,3,2017-12-14,59291955
11,,20495023,5,2017-12-14,59291955
12,,10512661,4,2017-11-21,59291955
13,,25790761,3,2017-11-21,59291955
14,,27027913,3,2017-11-21,59291955
15,好像什么都没有讲。除了回顾一下第一部的烟花爆头。,26378579,3,2017-10-23,59291955
16,色调好看，沈星移还是个败家子的时候很萌。编剧渣渣。,26801052,3,2017-10-13,59291955
17,诡异而有才。,26811587,4,2017-09-30,59291955
18,,26580232,4,2017-09-16,59291955
19,唉，只有脸好看。,25823277,2,2017-09-03,59291955
20,,1304687,4,2017-09-01,59291955
21,要么因为欲望无法得到满足而痛苦，要么因为欲望得到了满足而无聊，想想人还真是可悲又愚蠢。,1301582,4,2017-08-25,59291955
22,终于看完之后，整个人都活过来了。,25980443,4,2017-08-23,59291955
23,,7564989,4,2017-08-08,59291955
24,,24753810,3,2017-08-07,59291955
25,打得很努力了，不困。被吴京圈粉了。,26363254,3,2017-08-06,59291955
26,张震为什么这么帅啊，天哪……,26270502,4,2017-07-23,59291955
27,,6041191,3,2017-07-12,59291955
28,丝毫不煽情，在朝圣的路上，孩子出生了，就出生了，老人去世了，就去世了，没钱了就去打工，赚到了钱再上路。我看导演并没有表达有信仰就很牛逼的意思，不过是呈现一种和我们不同的生活。,26606242,4,2017-06-23,59291955
29,只看颜值和腿。,1578714,3,2017-06-09,59291955
30,少女想退学结婚，跟虚荣关系不大，哪个少女没点虚荣呢？问题在于，父母的教育方法，把学习作为一种避免辛苦的手段，当目的已经实现时，手段就可以抛弃了。让人难过的是这一点，那么多有上进心的人，动机不是兴趣和爱，而是想要避免XXX，哪怕取得了很高的成就，内心里也是一辈子都在逃跑。,3011093,3,2017-05-25,59291955
31,宇航员居然全死了，连这么帅的吴彦祖也死了。人类的精密计划在冰冷的宇宙面前，显得如此渺小而脆弱，通讯一中断就玩儿完，航行那么多年还出不了太阳系，但人类依然特别不安分地一次又一次被星辰大海召唤。这也是一种浪漫。唯一不好的是，木星生物居然是个章鱼……能不能不这么庸俗？,6857606,3,2017-05-19,59291955
32,女巫是个bug，什么都能做。,25864124,3,2017-05-15,59291955
33,作为一个悬疑片，比较普通。但风景真是太美了，大海，黄昏，飞奔的马，明灭的灯塔，风拂过长草。在寂静的小岛上，因为孤独而互相靠近。,1440685,4,2017-05-08,59291955
