,movie_comment,movie_id,movie_score,movie_time,user_id
0,值得一看的人性悬疑片。“人性真的不好说，有人肯在戳瞎自己眼睛的仇人逃命时帮上一把，而有人与自己女儿的救命恩人面对面时也不肯告诉对方儿子已死的真相。”,26647117,4,2018-04-12,gucci122
1,31号就看了.....恕我平时不太玩游戏吧共鸣不多，闯关寻宝带入闪灵剧情还是蛮对胃口的。。但其他吧～ 感觉还是在发掘青少年市场，主角选的好嫩哦，鲜肉都不算吧。但场面还是很好看哒！（3星4星间徘徊，决定还是忠于内心....so....,4920389,3,2018-04-06,gucci122
2,剧情太一般，但全篇我都只在关注 妈妈女儿在一起的画面简直太特么像姐妹了完全没有母女感啊～ 然后我特意去搜了下，演妈妈的女生79年，女儿91年。。。难怪～ 不过，再一次印证早生娃的优势，生完完全还是妙龄女子的颜，不像我，生前就已经老阿姨脸了555555555,6132609,3,2018-04-06,gucci122
3,我昨天梦见刘德华了.......很奇葩暧昧的桥段～结果今天就意外选到了刘德华的电影，这是不是缘分，你就说这是不是缘分！#还有张曼玉的一颦一笑都极具少女感，不是现在整容脸的标准化但特别迷人。,1304624,4,2018-04-05,gucci122
4,太烂了吧这也 同情花钱去电影院看的每一位。浮夸、低俗、low。三位女士平日辛苦树立起来的优雅高级正能量女神形象，瞬间毁于这部电影。#姑娘们如果贱成这样，不值得被人尊重。,25856453,1,2018-04-05,gucci122
5,这种励志应该只会教坏小姑娘吧。如果没有安岛的帮助，她怎么可能反转！又怎么可能安然无恙度过一切难关？而且不被暴打强奸暗杀砸店简直是不真实，小姑娘过得太安逸了。除了剧情太玛丽苏外，大家演技还是都好看的！,27046252,4,2018-03-24,gucci122
6,竟然还挺好看！！演员卧虎藏龙，王学圻依然很燃我，而大S演的角色竟然有杉菜的影子！,3813779,4,2018-03-18,gucci122
7,身材不错哦，科技感是看点，但剧情没有，想起一出是一出。,6390825,3,2018-03-18,gucci122
8,so so...但出现的几句销售圣经值得牢记。,4111408,3,2018-03-05,gucci122
9,真的很一般，虎头蛇尾。有一种我都跃跃欲试打算好好烧脑推理一把了你就给我看这个的感觉？,25920885,3,2018-02-25,gucci122
10,还是喜欢看这种有戏剧冲突的电影。节奏紧凑不容易出戏。虽然最后十分钟的外星戏实在是有失水准呢～但毕竟要扣电影类型“科幻”的帽子嘛～,2977957,4,2018-02-25,gucci122
