,movie_comment,movie_id,movie_score,movie_time,user_id
0,,26683290,4,2016-12-29,sharplhl
1,,26000205,3,2016-12-29,sharplhl
2,,26861877,3,2016-12-29,sharplhl
3,,26325320,4,2016-12-29,sharplhl
4,,4724739,2,2016-12-29,sharplhl
5,,26298935,1,2016-12-29,sharplhl
6,,1292365,4,2016-12-29,sharplhl
7,,1299365,3,2016-12-29,sharplhl
8,,3286547,5,2016-12-29,sharplhl
9,,3286548,5,2016-12-29,sharplhl
10,,3286543,5,2016-12-29,sharplhl
11,,3286538,5,2016-12-29,sharplhl
12,,3286536,5,2016-12-29,sharplhl
13,,3286531,5,2016-12-03,sharplhl
14,这种菜鸡互啄也配叫“权力的游戏”，放到《三国演义》里全都活不过前三回。,6558062,4,2016-11-28,sharplhl
15,一部放松身心的电影。当黑旋风满街乱刮的时候，我终于伴着轰隆声睡着了。,25726614,3,2016-11-27,sharplhl
16,沉闷无聊，毫无灵气！,25983044,3,2016-11-27,sharplhl
17,,3286528,5,2016-11-26,sharplhl
18,,3016187,5,2016-11-26,sharplhl
19,,1393859,5,2016-11-19,sharplhl
20,,1303037,5,2016-11-12,sharplhl
21,,1306939,5,2016-11-12,sharplhl
22,在测试环境里怎么乱搞都行，但不要随便上线。最后是令恶意代码陷入死循环自己跑挂了？,3025375,4,2016-11-06,sharplhl
23,,1300555,4,2016-10-30,sharplhl
24,很有意思，但毛病也多。估计原版话剧应该比电影水准高很多。,25921812,3,2016-10-28,sharplhl
25,一次看到那么多老牌女星正青春的光景也是有趣,1305016,4,2016-10-24,sharplhl
26,,1428577,5,2016-10-24,sharplhl
27,,1428581,5,2016-10-24,sharplhl
28,,1295064,3,2016-10-16,sharplhl
29,,1293941,5,2016-10-16,sharplhl
30,,3569910,1,2016-10-15,sharplhl
31,,1302090,3,2016-10-08,sharplhl
32,,1292541,5,2016-10-07,sharplhl
33,（接上一条广播）……然而稍微多看几集很快就腻了。,23997724,4,2016-10-07,sharplhl
34,日剧往往一开始很抓人……（接下一条广播）,10491666,5,2016-10-07,sharplhl
35,,1299288,5,2016-10-05,sharplhl
36,,1865703,5,2016-10-05,sharplhl
37,,1291818,5,2016-10-04,sharplhl
