,user_id,user_movie,user_name,user_pop
0,tjz230,3975,影志,97025
1,bighead,1270,大头绿豆,10452
2,jmr,1088,.,12418
3,amutofade,241,宋阿慕,1919
4,mydear1011,4570,城南草木生,28859
5,shinewewe,1098,shu,66133
6,duchamp,2744,逍遥兽,13034
7,kittielisa,918,lisa|离,3817
8,onshuway,3813,小耳朵图吗,2028
9,antonia,1413,安东妮,3715
10,boks,3790,boks,3313
11,sirenman,702,蛮爷,2205
12,gucci122,1232,Miffygaga,6363
13,miuccia,1210,Miss Lucky,2917
14,piggytea,1428,杜扬Seatory,52580
15,aixiaoke,2865,艾小柯,112370
16,MeloTheFisher,1042,烟波人长安,65572
17,rebekah,5380,眠去,57039
18,cabaret,3724,陀螺凡达可,22750
19,chinriya,4680,K先生,1726
20,bambooling,104,阿米,894
21,3540441,4174,同志亦凡人中文站,44432
22,conanemily,4189,米粒,44641
23,30290719,668,糖吖了个旺旺的,93
24,33544945,,astrid韩代喵,
25,cathychou,,cc,
26,beemer,978,蔡鸟,467
27,1315807,,Fallcon,
28,xiaoxiaomogu,2002,小小,712
29,zhuiyii,,追忆,
30,suki_1001,840,suki_1001,77
31,freeva,1306,懿粉,39
32,Repulsion,3226,SpancerHu,1369
33,3512823,898,王十一,42
34,pigeye,3842,皮革业,6278
35,3638194,,z,
36,Sammyzheng,1420,Sammy,357
37,melodygxl,2730,十个斗的眼窝浅,100
38,55710245,,v,
39,4280620,724,无相,32
40,hexiaoqin,3561,何小沁,7229
41,pinpoint,1769,흫_흫,163
42,p4xiaohan,1704,真心人||摸摸大,159
43,fzy1993,,Anday,
44,loyoyo_O,734,木由,18978
45,wangdong1120,3571,Bill,2371
46,8711485,1584,北北,158
47,2106137,3507,yolanta,28
48,vivien_princess,3039,vivien,87
49,pigpearl,1627,Evan,271
50,takizhang,134,taki zhang,1054
51,54806925,1925,胡泼猴,23
52,zhangyiwei,1818,走走,990
53,Never-land-lee,2863,Never-land,304
54,MovieL,4404,木卫二,117620
55,41840197,2344,啾,122
56,sindy1113,1393,旺财sindy,57
57,swallowbluebell,2077,小乙,116
58,Obtson,3817,Obtson,1159
59,lengleng125,,冷冷,
60,UptoNana,1729,t.a.,46
61,missdonglian,468,donger,3799
62,imlqh,,一苇杭之,
63,dongcaiyu,1440,N米,85
64,BlueMoonshine,1096,Ms.I,173
65,Madao_D,1460,戴泰德,433
66,bell-wind,1848,扌,1072
67,58801917,1165,镜遁白桦,14
68,1567067,2082,冀照寜,2802
69,mihalin,874,0932313,101
70,sandings,753,老沙,13
71,y328675858,3750,私房歌,72
72,juyi214,1406,易,137
73,mikaLynn,1966,友邻广播,51
74,skysunny,1857,skysunny,233
75,cccwwwzzz,1293,艾斯贝朤卅,134
76,MagicK,4951,麦小白,625
77,3123698,1685,面包超人,144
78,jinasong,920,☠宝木君☠,246
79,2574869,1367,fefe,1208
80,Kevin3,2269,的云,310
81,freshyyblue,2056,亲爱的我呀,870
82,4329184,1667,angle鄒,32
83,4274916,,席梦思°,
84,kfcmoon,1809,Seamoon,1189
85,zhongdamin,1031,DamienChung,74
86,icooler,1327,电影小米猪,21
87,38897761,2288,信电影得永生,193
88,Cherry.Pluto,2118,霙,2012
89,seabisuit,1210,seabisuit,1697
90,Amostoricher,728,アホ,308
91,3589989,1524,虹口一条龙,103
92,Aimwalker,2036,雷斯特雷波,35
93,draco1892,4492,井戒,245
94,jason1876,1503,Jason1876,49
95,yaogunxuanzang,,摇滚玄奘,
96,catuncle1988,4608,潜意识,3398
97,kylin216,990,頑颜笑,394
98,3993233,3468,★冰凌宫★,63
99,39363264,,marsemigrant,
100,euphony,3449,小额么小脚丫儿,588
101,wendy_shi,,邦妮大口啃萝卜,
102,yaogunxuanzang,,摇滚玄奘,
103,Leilawiner,892,地狱少妇,227
104,4295980,,Ponyo吹吹风,
105,fashion.y,2267,花都满,412
