,user_id,user_movie,user_name,user_pop
0,137394785,51,根叔,1404
1,china-undead,3777,武侠小王子,1249
2,70025737,34,无毒,60
3,remedios6,650,雷梅苔丝,5466
4,cyrus_wong,979,瓦力,828
5,lingrui1995,2302,凌睿,14940
6,150848902,,皮卡皮卡皮卡啾,
7,150033117,730,茴香包子,34
8,ballteda,2042,掉线,5195
9,kejinlong,6486,有意识的贱民,3390
10,50900048,,[已注销],
11,153453290,1474,阿呆同学,27
12,Witing_Godot,489,花间一壶酒,29
13,yancm,1000,秃顶艺ber,11232
14,p2165,5139,二月鸟语,2630
15,christopherlin,2206,安德烈大叔,5031
16,50060410,2351,朝阳区白百合,2851
17,adakenndy,1878,Ada Wang,2462
18,qijiuzhiyue,10186,桃桃淘电影,140693
19,brokenjade,3513,The 星星,1847
