,user_id,user_movie,user_name,user_pop
0,gucci122,1232,Miffygaga,6363
1,ocean_kwai,2278,战国客,2057
2,imecstasy,2794,唐小万,3112
3,zhulinzhao,4031,朱林昭,779
4,airan712,2734,Q。,14833
5,aixiaoke,2865,艾小柯,112368
6,benhoo,1176,本多,791
7,zmengli,,[已注销],
8,GariberZyo,2044,莫呼洛迦-屁股上的青春在歌唱,4414
9,tjz230,3975,影志,97016
10,vivipico,895,徐小花,1682
11,bluejiang,2859,少年夏不安,4201
12,fish_0507,2444,萱草离离,156
13,ms_bye,727,岛,1017
14,movie007wn,2164,蒜 | BOY A✎,8586
15,80208165,86,李文暄,41
16,cuican,1503,璀璨,1950
17,ydyie,4433,时间之葬,14325
18,Kev.Garnett,1581,罗弘霉素,2246
19,ivy87815,1419,原来是西门大嫂,69654
20,Hamlet-Luang,1274,大时代歌姬,22754
21,3540441,4174,同志亦凡人中文站,44414
22,dianyingnjxs,1197,事儿妈,105
23,lingrui1995,,凌睿大坏蛋,
24,yuanmu,908,袁牧,9327
25,4187023,161,fateface,37731
26,nielu,1247,♣lùlu♣,1597
27,148179414,625,婷婷,161
28,huhu1999,2236,九只苍蝇撞墙,16477
29,Zizou_Vam,,托尼·王大拿,
30,jinjidetutu,747,大耳朵_,96
31,zishuiyilan,2822,薇羅尼卡,8594
32,bighead,1270,大头绿豆,10450
33,yuyan545,1879,亚比煞,39218
34,152434281,2030,元宝宝,101
35,noahsart,1549,嘚嘚嘚嘚嘚,606
36,ofo,3816,冰山李,11967
37,AngelinaAnne,2054,小A,6746
38,69290051,1959,Paco,8255
39,caesarphoenix,2902,xīn,2641
40,conanemily,4189,米粒,44637
41,57451687,952,Arthur,313
42,158123544,340,炫3D,106
43,pig1983,916,zhu zhu~,11991
44,eason0210,4999,乐山小佛,3621
45,41423557,905,馬悌原,28
46,jywpl,3700,獨孤島主,4766
47,leo1983,2099,无语清秋,275
48,yeshunjia,4392,南條某葉,691
49,apple.tong,3000,瞳°不乖,20
50,lengleng125,,冷冷,
51,1209501,2182,黑黑,2507
52,flytoinfinity,715,茧氏,36
53,AnneBoleyn,1299,Boleyn,64
54,ZeitgeistAmour,1426,Kreuzberg,1831
55,Kafka663,2131,李扯火,220
56,putengfei,1647,大燕威王~扑腾,20714
57,ice_bloom,826,icebloom,1614
58,47954194,1684,半日光辉,202
59,seanhay,,[已注销],
60,36150708,308,Shays,1226
61,gluttony6,2585,小四不象,217
62,austim,2207,豆瓣浅度用户,930
63,158679347,690,X,109
64,darlingtudai,7164,刘小黛,14004
65,31301735,2485,拍珀·路米內,156
66,meeker24,1075,零度倾斜,578
67,LarryCC,1518,人参美少女,166
68,y328675858,3750,私房歌,72
69,baoziguainiu,2041,ムルキキ,63
70,len1030,1327,Solm.kuro,1095
71,shoushouan,4216,大瘦瘦,4627
72,3403686,5573,超cute侠,412
73,meijianzhopu,,传说,
74,MagicK,4951,麦小白,625
75,lumen,906,好似匹脱肛野马,84
76,juejin,1159,HsvEvnX,86
77,4242799,1298,查无此人,260
78,14406293,2833,kerrysun,7
79,curemyself,1772,Chris Keller,118
80,1048649,,坐在海底支着下巴的鱼,
81,Mel-sense,1116,Lam,206
82,melodygxl,2730,十个斗的眼窝浅,100
83,sora_13,2403,Dooooorothy,213
84,neverforget,1054,Mr.Mc,226
85,62191656,604,kryptonite,53
86,CherryChI,1413,Cherry Chi,191
87,laneddy,1914,laneddy,49
88,dtspsAli,1564,Patrick峰峰,24
89,luckyugliest,700,kazikazi,238
90,No.A.,787,囧哩个囧,160
91,dusk.xiyang,4018,天河佑希,556
92,HAYATE-RIN,1921,Light,3
93,Allina,2528,跳跳张,632
94,Alienzhao,1063,Alien,63
95,wuaibolatu,,[已注销],
96,Aragon,1987,土建劝退师四狗,2048
97,2896376,2340,麦当狗蜀黍,76
98,2519583,,ani,
99,lyzbeishida,739,素履,494
100,cokasusu,,神楽茄子,
101,Cincky.XiN,2711,cincky,656
102,bangle,1027,竹或子,227
103,shuang2,1450,支离破碎,1310
104,4255750,1246,黄色电影记录鸡,217
105,SaberMelancholy,3082,李可笑,694
106,72520254,3217,今生、唯爱,366
107,yadiel,922,yadiel,32
108,46844048,1138,Woo,1172
109,hyskoa99,1430,维魔,40
110,vivien_princess,3039,vivien,87
111,4014678,1613,尧louie,21
112,qianshan,2635,ShaneRay,134
113,ozawa,1316,润物,3523
114,wenhuanc,1371,Hertacis,10056
115,djj11,,djj,
116,iautumnleaf,2034,null,74
117,zhongchihan,933,钟痴汉,243
118,evilynq,2434,Evil freedom,12
119,onlyYH,1558,萤火虫子,226
120,onlyYH,1558,萤火虫子,226
121,terababy,1400,孙岩TERA,190
122,zoe14,3627,ζωήιδ,2354
123,jean,687,Jean,3028
124,aya1026,1161,Rapunzel,100
125,seeme,2084,seeme | 北北,762
126,chocox,1718,小柒゜,248
127,T.S.,1164,Tiff,121
128,gllizzy,1501,鲽,124
129,lililalilila,1361,馬鹿燒酒Alice,514
130,pengze840128,742,已注销,73
131,heycinderella,987,heycinderella,67
132,jessicahuang,1296,汲汲于尘,19
133,Fe.douban,5176,心之旋影,1340
134,41727557,,赵麻花,
135,63359487,,一字,
136,lizlee0601,1486,LizLee,14
137,34250814,,海绵宝宝,
138,79221774,1843,张苑希,513
139,155840797,410,妙龄女,93
140,4011934,767,人民私仆凹凸曼,61
141,155840797,410,妙龄女,93
